         9610377 function calls (9601061 primitive calls) in 6.360 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      130    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
       51    0.003    0.000    0.003    0.000 /home/lorenzo/Scrivania/lavoro/borsaNOgui/ProsumerGUROBI_FIX.py:106(<listcomp>)
      409    0.000    0.000    0.003    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/rcsetup.py:307(validate_color)
        1    0.000    0.000    0.003    0.003 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/ticker.py:1(<module>)
      111    0.000    0.000    0.003    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/rcsetup.py:88(f)
       12    0.000    0.000    0.003    0.000 /usr/lib/python3/dist-packages/pyparsing.py:1901(parseString)
      195    0.001    0.000    0.003    0.000 /usr/lib/python3.10/sre_compile.py:560(_compile_info)
       51    0.003    0.000    0.003    0.000 /home/lorenzo/Scrivania/lavoro/borsaNOgui/ProsumerGUROBI_FIX.py:105(<listcomp>)
       23    0.001    0.000    0.003    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/igraph/drawing/metamagic.py:224(_collect_attributes)
     4898    0.001    0.000    0.003    0.000 /usr/lib/python3.10/sre_parse.py:255(get)
       32    0.000    0.000    0.003    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/colors.py:1036(from_list)
      141    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       10    0.000    0.000    0.003    0.000 /usr/lib/python3/dist-packages/pyparsing.py:5120(__init__)
     6998    0.002    0.000    0.003    0.000 /usr/lib/python3.10/sre_parse.py:165(__getitem__)
     32/9    0.000    0.000    0.003    0.000 /usr/lib/python3/dist-packages/pyparsing.py:4466(leaveWhitespace)
    32932    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
      356    0.001    0.000    0.003    0.000 /usr/lib/python3.10/inspect.py:663(_finddoc)
      412    0.000    0.000    0.002    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/colors.py:221(is_color_like)
        1    0.000    0.000    0.002    0.002 /home/lorenzo/.local/lib/python3.10/site-packages/packaging/version.py:159(Version)
        1    0.000    0.000    0.002    0.002 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/font_manager.py:1564(_load_fontmanager)
     2674    0.002    0.000    0.002    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/cbook.py:405(_strip_comment)
      417    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pyparsing.py:1423(copy)
        1    0.000    0.000    0.002    0.002 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/mathtext.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/tri/_tricontour.py:1(<module>)
     7236    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
   306/12    0.001    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pyparsing.py:1647(_parseNoCache)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.10/json/__init__.py:274(load)
        1    0.000    0.000    0.002    0.002 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/font_manager.py:970(json_load)
    12750    0.002    0.000    0.002    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/numpy/lib/function_base.py:869(_copy_dispatcher)
    72/12    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pyparsing.py:4049(parseImpl)
      241    0.000    0.000    0.002    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/rcsetup.py:279(validate_color_for_prop_cycle)
        1    0.000    0.000    0.002    0.002 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/spines.py:1(<module>)
       35    0.000    0.000    0.002    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/rcsetup.py:107(<listcomp>)
 1184/379    0.002    0.000    0.002    0.000 /usr/lib/python3.10/sre_parse.py:175(getwidth)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.10/json/__init__.py:299(loads)
       18    0.000    0.000    0.002    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/rcsetup.py:662(cycler)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.10/json/decoder.py:332(decode)
        2    0.001    0.000    0.002    0.001 /usr/lib/python3.10/json/decoder.py:343(raw_decode)
        1    0.000    0.000    0.002    0.002 /home/lorenzo/.local/lib/python3.10/site-packages/defusedxml/ElementTree.py:1(<module>)
      417    0.001    0.000    0.002    0.000 /usr/lib/python3.10/copy.py:66(copy)
      438    0.000    0.000    0.002    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/colors.py:268(to_rgba)
       70    0.000    0.000    0.002    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/_api/deprecation.py:257(rename_parameter)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3/dist-packages/PIL/PngImagePlugin.py:1(<module>)
       10    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pyparsing.py:3140(__init__)
        1    0.002    0.002    0.002    0.002 /home/lorenzo/.local/lib/python3.10/site-packages/igraph/__init__.py:5188(autocurve)
      260    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     56/9    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pyparsing.py:3897(leaveWhitespace)
     5838    0.002    0.000    0.002    0.000 /usr/lib/python3.10/sre_parse.py:234(__next)
    31357    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.002    0.002 /home/lorenzo/.local/lib/python3.10/site-packages/mpl_toolkits/mplot3d/axes3d.py:42(Axes3D)
   116/58    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pyparsing.py:3968(copy)
        1    0.000    0.000    0.002    0.002 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/_mathtext.py:1(<module>)
        7    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
        7    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
      102    0.001    0.000    0.002    0.000 /home/lorenzo/Scrivania/lavoro/borsaNOgui/ProsumerGUROBI_FIX.py:79(production_consumption)
       67    0.000    0.000    0.002    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/colors.py:1089(reversed)
       65    0.000    0.000    0.002    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/_api/deprecation.py:128(deprecate)
       18    0.001    0.000    0.002    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/igraph/drawing/metamagic.py:336(<listcomp>)
      349    0.001    0.000    0.002    0.000 /usr/lib/python3.10/functools.py:35(update_wrapper)
        1    0.000    0.000    0.002    0.002 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/widgets.py:1(<module>)
       67    0.000    0.000    0.002    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/colors.py:1108(<dictcomp>)
       19    0.001    0.000    0.002    0.000 /usr/lib/python3.10/collections/__init__.py:328(namedtuple)
    10609    0.002    0.000    0.002    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/igraph/__init__.py:3231(vs)
   116/58    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/pyparsing.py:3970(<listcomp>)
