         50068 function calls (49873 primitive calls) in 28.666 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/scheduler.py:381(get_max_advance)
       20    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/networkx/classes/coreviews.py:46(__len__)
      136    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/networkx/classes/graph.py:1763(subgraph)
       63    0.000    0.000    0.000    0.000 /root/models/cosima_core/simulators/communication_simulator.py:44(get_data)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:114(_make_name)
       82    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/networkx/classes/coreviews.py:80(__getitem__)
       20    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/networkx/classes/coreviews.py:271(__len__)
       70    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
  130/108    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
    16/14    0.000    0.000    0.000    0.000 /usr/lib/python3.8/functools.py:947(__get__)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/networkx/algorithms/simple_paths.py:323(all_simple_edge_paths)
       26    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/tempfile.py:283(__next__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
      148    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 /root/models/cosima_core/util/util_functions.py:38(stop_omnet)
       58    0.000    0.000    0.000    0.000 /root/models/cosima_core/mosaik_sim/SimulatorDiscreteCosima.py:399(__init__)
      255    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/simpy/events.py:90(ok)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:734(_newname)
       21    0.000    0.000    0.000    0.000 /usr/lib/python3.8/pathlib.py:701(_format_parsed_parts)
  158/156    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       21    0.000    0.000    0.000    0.000 {built-in method _json.encode_basestring_ascii}
       32    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
       44    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/networkx/classes/reportviews.py:545(__getitem__)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/scheduler.py:25(run)
       10    0.000    0.000    0.000    0.000 /root/models/cosima_core/mosaik_sim/Collector.py:45(step)
       50    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/networkx/classes/coreviews.py:274(__iter__)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/tqdm/std.py:679(_get_free_pos)
        3    0.000    0.000    0.000    0.000 {built-in method io.open_code}
       69    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/simpy/events.py:568(all_events)
